id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
449,3,6,0,0,0,0,0,1,2,3,1,1,4,1,1,5,1,1,1,1,1,1,0,0,0,,0,34,14,4,5,2,3,7,2,3
450,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"1, 2, 3, 4",4,4,4,3,4,3,3,3,3,2,1,1,1,0,0,,0,28,10,5,5,2,3,10,3,4
451,3,"1, 2, 5",1,1,0,0,1,0,2,"2, 3",2,3,5,2,4,3,3,2,4,1,2,1,0,0,0,,0,22,9,0,1,1,4,9,3,1
452,2,"1, 2",1,1,0,0,0,0,2,"1, 2, 3",3,3,4,1,2,3,3,3,2,1,2,1,0,0,0,0,0,29,8,4,4,5,5,8,,1
453,3,"1, 2, 6",1,1,0,0,0,1,3,4,1,4,4,1,5,5,5,1,3,1,2,1,1,0,0,,0,24,9,4,4,2,3,13,1,1
454,3,4,0,0,0,1,0,0,2,"2, 3",2,5,5,5,5,3,5,5,5,3,1,1,0,0,0,,1,16,12,3,1,1,3,12,1,1
455,3,"1, 5",1,0,0,0,1,0,3,"1, 2, 3, 4",4,5,3,1,4,3,2,4,3,2,3,1,1,1,1,1,1,30,13,3,7,4,1,13,1,3
456,2,2,0,1,0,0,0,0,3,1,1,4,4,4,3,4,3,2,1,1,2,1,0,0,0,0,0,28,10,4,7,2,3,10,3,1
457,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"1, 2, 4",3,5,4,1,4,1,1,3,4,4,1,1,1,0,1,1,0,24,8,4,1,2,1,10,1,1
458,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,3,"1, 2, 3, 4",4,5,4,3,4,5,5,5,4,3,1,1,1,0,0,1,1,20,13,5,7,5,1,13,1,1
459,2,"1, 5",1,0,0,0,1,0,3,"2, 3, 4",3,5,2,2,4,4,2,4,4,3,1,1,1,0,0,,1,23,10,4,1,1,1,10,,1
460,1,1,1,0,0,0,0,0,2,"1, 2",2,5,4,3,3,1,1,3,3,3,2,1,0,0,0,0,1,24,10,4,4,2,1,10,1,4
461,3,"1, 2, 3, 4, 5",1,1,1,1,1,0,4,"1, 2, 3, 4",4,5,5,5,5,5,5,5,5,5,3,1,1,1,0,1,1,31,10,3,7,5,1,10,1,1
462,3,"1, 2, 3, 4, 5",1,1,1,1,1,0,4,"1, 2, 3, 4",4,5,5,5,5,5,5,5,5,5,3,1,1,1,0,1,1,31,10,3,7,5,1,10,1,1
463,1,"1, 2",1,1,0,0,0,0,1,"1, 2",2,3,5,1,4,5,3,4,3,1,2,1,0,0,0,1,0,40,13,5,5,2,2,13,1,1
464,1,1,1,0,0,0,0,0,3,2,1,5,4,1,4,1,4,4,5,5,3,1,1,0,0,1,1,29,10,4,5,2,4,10,3,1
465,1,"1, 2, 5",1,1,0,0,1,0,1,"2, 4",2,5,5,1,5,2,3,4,4,4,2,1,1,0,0,0,0,47,7,6,5,3,2,10,1,1
466,2,"1, 2, 6",1,1,0,0,0,1,2,"1, 2, 4",3,4,4,1,5,4,2,1,3,1,1,1,1,0,0,,1,38,10,5,4,3,1,10,1,1
467,1,1,1,0,0,0,0,0,2,"2, 3",2,3,4,3,5,3,3,3,4,4,2,1,0,0,0,0,0,30,13,3,2,1,1,13,1,4
468,2,"1, 2",1,1,0,0,0,0,2,4,1,5,5,4,5,2,2,4,4,4,3,1,0,0,0,,1,64,9,4,4,4,5,13,1,1
469,2,6,0,0,0,0,0,1,2,"1, 2, 3, 4",4,4,4,4,4,4,4,4,4,4,3,1,1,0,0,,1,29,10,4,4,2,1,10,1,1
470,3,"1, 2, 5, 6",1,1,0,0,1,1,3,"1, 2, 3",3,5,5,2,5,5,3,3,5,4,1,1,1,1,1,1,0,25,10,4,4,2,1,10,1,1
471,2,"1, 6",1,0,0,0,0,1,3,"3, 4",2,5,5,4,5,5,2,5,5,1,1,1,1,1,1,1,1,20,13,3,1,1,1,13,1,1
