,Unnamed: 0,Unnamed: 0.1,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty,age_group
168,168,168,169,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 3, 4",3,0.6,4,2,3,0.6,2,0.8,4,3,1,1,0,0,0,0,0,22,10,4,1,1,1,10,1.0,1,0.63749999,0.61250001,0.51249999,0.0,1,0,0,0,young
169,169,169,170,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,0.6,3,3,4,0.6,3,0.6,4,3,2,1,1,0,0,1,1,22,10,4,4,2,4,10,3.0,1,0.5625,0.58749998,0.5625,0.5,1,0,0,0,young
170,170,170,171,Less than 1 Hour,"1, 5",1,0,0,0,1,0,between 300-1000 friends,3,1,1.0,4,3,5,0.6,3,0.6,4,3,2,1,0,0,0,0,1,35,13,2,3,1,1,13,1.0,1,0.66250002,0.75416666,0.5625,0.0,1,0,0,0,medum
171,171,171,172,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,0.2,5,2,2,0.8,4,0.2,1,1,2,1,0,0,0,0,1,35,10,4,7,4,1,10,1.0,1,0.69999999,0.56666666,0.36250001,0.0,1,0,0,0,medum
172,172,172,173,Between 1 Hour and 3 Hours,"1, 4",1,0,0,1,0,0,between 300-1000 friends,"1, 2",2,0.6,5,1,3,0.6,4,0.2,3,3,2,1,0,0,0,0,0,24,12,4,5,2,3,12,1.0,4,0.57499999,0.59166664,0.5625,0.0,0,0,0,1,young
173,173,173,174,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,1.0,5,5,5,0.2,1,0.8,5,5,3,1,1,0,0,0,0,28,10,5,5,2,4,10,3.0,4,1.0,0.73333335,0.61250001,0.25,0,0,0,1,young
174,174,174,175,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,0.8,4,1,5,1.0,4,0.8,3,4,3,1,0,0,0,0,1,47,13,5,1,2,1,13,1.0,4,0.75,0.85000002,0.61250001,0.0,0,0,0,1,medum
175,175,175,176,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,0.6,4,1,3,1.0,4,0.2,3,2,1,1,0,0,0,0,0,19,13,0,1,1,1,13,1.0,1,0.64999998,0.75,0.51249999,0.0,1,0,0,0,young
176,176,176,177,Between 1 Hour and 3 Hours,"3, 4, 5",0,0,1,1,1,0,between 3000-5000 friends,"1, 2",2,0.8,5,4,5,0.6,5,0.6,3,3,1,1,0,0,0,0,1,23,10,4,2,1,1,10,1.0,1,0.82499999,0.74166667,0.61250001,0.0,1,0,0,0,young
177,177,177,178,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 2, 3",3,0.6,1,1,5,0.2,1,0.8,4,1,2,1,0,0,0,0,0,21,2,4,4,2,3,2,2.0,1,0.53750002,0.44583336,0.36250001,0.0,1,0,0,0,young
178,178,178,179,Less than 1 Hour,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,under 300 friends,4,1,1.0,5,4,5,0.8,4,0.2,4,4,1,1,0,0,0,0,0,43,10,4,2,1,1,10,1.0,1,0.76249999,0.85416669,0.66250002,0.0,1,0,0,0,medum
179,179,179,180,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,3,1,0.8,4,4,4,0.2,5,0.2,4,1,1,1,0,0,0,1,0,23,10,4,7,3,3,10,1.0,1,0.66250002,0.55416667,0.5625,0.25,1,0,0,0,young
180,180,180,181,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 300-1000 friends,"1, 2, 3, 4",4,1.0,3,3,4,0.8,2,0.6,4,1,1,1,0,0,1,0,0,18,10,3,1,1,1,10,1.0,4,0.75,0.85000002,0.41249999,0.25,0,0,0,1,young
181,181,181,182,Less than 1 Hour,5,0,0,0,0,1,0,between 300-1000 friends,2,1,1.0,5,5,5,0.8,5,0.6,3,3,2,1,0,0,0,0,0,61,9,3,2,1,3,10,1.0,2,0.8125,0.87083334,0.61250001,0.0,0,1,0,0,older
182,182,182,183,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"3, 4",2,0.6,5,5,3,1.0,5,0.4,3,1,2,1,0,0,0,0,0,24,8,4,2,2,3,8,1.0,1,0.77499998,0.79166669,0.51249999,0.0,1,0,0,0,young
183,183,183,184,More than 3 Hours,"1, 2, 3, 5, 6",1,1,1,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,0.8,5,3,4,1.0,3,0.8,4,4,1,1,1,1,0,1,1,21,10,3,1,2,1,10,1.0,1,0.85000002,0.88333333,0.61250001,0.75,1,0,0,0,young
184,184,184,185,More than 3 Hours,6,0,0,0,0,0,1,under 300 friends,4,1,0.8,4,1,4,1.0,5,0.6,4,4,1,1,0,1,0,0,0,23,10,0,1,1,3,10,1.0,1,0.51249999,0.77083331,0.71249998,0.25,1,0,0,0,young
185,185,185,186,Between 1 Hour and 3 Hours,"1, 2",1,1,0,0,0,0,under 300 friends,"1, 2",2,0.6,4,1,3,0.6,1,0.2,3,1,2,1,0,0,0,0,0,22,7,0,7,1,3,7,2.0,1,0.52499998,0.57499999,0.3125,0.0,1,0,0,0,young
186,186,186,187,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,0.6,4,2,5,0.8,5,0.6,5,3,2,1,1,0,0,1,0,23,8,4,1,1,1,10,1.0,1,0.80000001,0.73333335,0.71249998,0.5,1,0,0,0,young
187,187,187,188,Less than 1 Hour,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,2,1,0.8,5,4,5,0.8,4,0.8,5,5,1,1,0,0,0,0,0,57,13,6,5,2,1,13,1.0,1,0.76249999,0.78750002,0.76249999,0.0,1,0,0,0,older
188,188,188,189,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 3",3,0.2,2,4,4,0.6,5,0.4,4,1,2,1,0,0,0,0,1,17,10,3,1,1,3,10,1.0,1,0.6875,0.49583334,0.5625,0.0,1,0,0,0,young
189,189,189,190,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,2,1,0.6,4,4,5,0.8,3,0.6,3,2,1,1,1,1,0,1,0,24,13,5,1,2,1,13,1.0,1,0.71249998,0.70416665,0.46250001,0.75,1,0,0,0,young
190,190,190,191,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"2, 4",2,1.0,5,1,4,1.0,1,0.2,3,1,1,1,0,0,1,0,1,36,9,4,5,2,3,7,2.0,3,0.625,0.875,0.3125,0.25,0,0,1,0,medum
191,191,191,192,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 300-1000 friends,"2, 3, 4",3,0.8,5,3,4,1.0,5,0.6,3,3,1,1,1,0,0,0,0,20,10,0,1,2,4,10,3.0,1,0.78750002,0.86250001,0.61250001,0.25,1,0,0,0,young
192,192,192,193,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,3,1,0.8,4,2,4,1.0,4,0.2,2,1,1,1,0,0,0,0,0,28,10,5,5,2,4,10,,1,0.5625,0.78750002,0.41249999,0.0,1,0,0,0,young
193,193,193,194,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,0.6,5,4,5,1.0,5,1.0,5,1,1,1,1,1,1,1,0,25,8,4,1,1,3,8,1.0,1,0.94999999,0.85000002,0.61250001,1.0,1,0,0,0,young
